"Step","transformer-2-(bin) - sig/significance","transformer-2-(bin) - sig/significance__MIN","transformer-2-(bin) - sig/significance__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"206","2.165865421295166","2.165865421295166","2.165865421295166","2.206892967224121","2.206892967224121","2.206892967224121"
"207","2.170969247817993","2.170969247817993","2.170969247817993","2.2085187435150146","2.2085187435150146","2.2085187435150146"
"208","2.1714885234832764","2.1714885234832764","2.1714885234832764","2.221813440322876","2.221813440322876","2.221813440322876"
"209","2.167541027069092","2.167541027069092","2.167541027069092","2.2047739028930664","2.2047739028930664","2.2047739028930664"
"210","2.169862747192383","2.169862747192383","2.169862747192383","2.2100625038146973","2.2100625038146973","2.2100625038146973"
"211","2.172605037689209","2.172605037689209","2.172605037689209","2.220813751220703","2.220813751220703","2.220813751220703"
"212","2.172097682952881","2.172097682952881","2.172097682952881","2.224513292312622","2.224513292312622","2.224513292312622"
"213","2.169076442718506","2.169076442718506","2.169076442718506","2.2263600826263428","2.2263600826263428","2.2263600826263428"
"214","2.171719789505005","2.171719789505005","2.171719789505005","2.2127890586853027","2.2127890586853027","2.2127890586853027"
"215","2.1712162494659424","2.1712162494659424","2.1712162494659424","2.218926191329956","2.218926191329956","2.218926191329956"
"216","2.173133373260498","2.173133373260498","2.173133373260498","2.213563919067383","2.213563919067383","2.213563919067383"
"217","2.1759557723999023","2.1759557723999023","2.1759557723999023","2.216153621673584","2.216153621673584","2.216153621673584"
"218","2.1765668392181396","2.1765668392181396","2.1765668392181396","2.2159388065338135","2.2159388065338135","2.2159388065338135"
"219","2.1717092990875244","2.1717092990875244","2.1717092990875244","2.2141172885894775","2.2141172885894775","2.2141172885894775"
"220","2.1727240085601807","2.1727240085601807","2.1727240085601807","2.215304136276245","2.215304136276245","2.215304136276245"
"221","2.1732850074768066","2.1732850074768066","2.1732850074768066","2.2118287086486816","2.2118287086486816","2.2118287086486816"
"222","2.176048994064331","2.176048994064331","2.176048994064331","2.214743137359619","2.214743137359619","2.214743137359619"
"223","2.1748745441436768","2.1748745441436768","2.1748745441436768","2.2172272205352783","2.2172272205352783","2.2172272205352783"
